ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
127	52	1	2	0.000000	8.269231	8.269231	0.000000	0.000000	0	0	0
128	40	2	1	0.000000	11.375000	11.375000	0.000000	0.000000	0	0	0
129	3	1	1	0.000000	9.000000	9.000000	0.000000	0.000000	0	0	0
130	77	1	1	0.000000	8.168831	5.311688	0.000000	0.000000	0	0	0
131	11	2	2	0.000000	11.636364	11.636364	0.000000	0.000000	0	0	0
132	99	2	1	0.000000	3.202020	3.202020	0.000000	0.000000	0	0	0
133	88	1	1	0.000000	5.318182	4.897727	0.000000	0.000000	0	0	0
134	16	1	2	0.000000	56.750000	47.437500	0.000000	0.000000	0	0	0
135	2	2	2	0.000000	63.000000	47.000000	0.000000	0.000000	0	0	0
136	1	2	1	0.000000	50.000000	36.000000	0.000000	0.000000	0	0	0
137	6	2	3	0.000000	46.500000	12.833333	0.000000	0.000000	0	0	0
138	31	1	1	0.000000	2.774194	2.774194	0.000000	0.000000	0	0	0
139	3	1	1	0.000000	46.333333	22.333333	0.000000	0.000000	0	0	0
140	71	1	1	0.000000	6.943662	6.943662	0.000000	0.000000	0	0	0
141	10	1	1	0.000000	5.600000	5.600000	0.000000	0.000000	0	0	0
142	79	1	1	0.000000	7.025316	7.025316	0.000000	0.000000	0	0	0
143	51	1	1	0.000000	8.490196	8.490196	0.000000	0.000000	0	0	0
144	73	1	1	0.000000	3.630137	3.630137	0.000000	0.000000	0	0	0
145	34	1	1	0.000000	4.352941	4.352941	0.000000	0.000000	0	0	0
146	51	1	1	0.000000	6.019608	6.019608	0.000000	0.000000	0	0	0
147	8	2	2	0.000000	13.875000	13.875000	0.000000	0.000000	0	0	0
148	21	1	1	0.000000	7.619048	7.619048	0.000000	0.000000	0	0	0
149	51	1	1	0.000000	3.529412	3.529412	0.000000	0.000000	0	0	0
150	51	1	1	0.000000	1.058824	1.058824	0.000000	0.000000	0	0	0
151	4	4	1	0.000000	30.500000	9.500000	0.000000	0.000000	0	0	0
152	3	1	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
153	14	1	1	0.000000	3.642857	3.642857	0.000000	0.000000	0	0	0
154	31	1	1	0.000000	2.483871	2.483871	0.000000	0.000000	0	0	0
155	1	2	2	0.000000	18.000000	18.000000	0.000000	0.000000	0	0	0
156	31	1	1	0.000000	9.064516	9.064516	0.000000	0.000000	0	0	0
157	27	1	1	0.000000	5.074074	5.074074	0.000000	0.000000	0	0	0
158	28	1	1	0.000000	3.892857	3.892857	0.000000	0.000000	0	0	0
159	51	1	1	0.000000	1.098039	1.098039	0.000000	0.000000	0	0	0
160	31	1	1	0.000000	4.645161	4.645161	0.000000	0.000000	0	0	0
161	27	1	1	0.000000	5.370370	5.370370	0.000000	0.000000	0	0	0
162	79	1	1	0.000000	1.177215	1.177215	0.000000	0.000000	0	0	0
163	51	1	1	0.000000	1.294118	1.294118	0.000000	0.000000	0	0	0
164	4	1	1	0.000000	10.250000	8.750000	0.000000	0.000000	0	0	0
165	4	2	1	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
166	51	1	1	0.000000	1.235294	1.235294	0.000000	0.000000	0	0	0
167	5	2	1	0.000000	8.400000	8.400000	0.000000	0.000000	0	0	0
168	47	1	1	0.000000	2.297872	2.297872	0.000000	0.000000	0	0	0
169	88	1	1	0.000000	7.363636	7.363636	0.000000	0.000000	0	0	0
170	51	1	1	0.000000	4.313725	4.313725	0.000000	0.000000	0	0	0
171	35	1	1	0.000000	2.314286	2.314286	0.000000	0.000000	0	0	0
172	51	1	1	0.000000	2.431373	2.431373	0.000000	0.000000	0	0	0
173	65	1	1	0.000000	2.953846	2.953846	0.000000	0.000000	0	0	0
174	9	1	1	0.000000	5.444444	5.444444	0.000000	0.000000	0	0	0
175	24	1	1	0.000000	6.416667	6.416667	0.000000	0.000000	0	0	0
176	3	4	1	0.000000	48.666667	11.666667	0.000000	0.000000	0	0	0
177	10	1	4	0.000000	29.600000	10.600000	0.000000	0.000000	0	0	0
178	51	1	1	0.000000	6.117647	6.117647	0.000000	0.000000	0	0	0
179	35	1	1	0.000000	5.485714	5.485714	0.000000	0.000000	0	0	0
180	40	1	1	0.000000	2.075000	2.075000	0.000000	0.000000	0	0	0
181	29	1	1	0.000000	3.551724	3.551724	0.000000	0.000000	0	0	0
182	1	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
183	51	1	1	0.000000	3.588235	3.588235	0.000000	0.000000	0	0	0
184	40	1	1	0.000000	2.875000	2.875000	0.000000	0.000000	0	0	0
185	43	1	1	0.000000	3.325581	3.325581	0.000000	0.000000	0	0	0
186	51	1	1	0.000000	3.196078	3.196078	0.000000	0.000000	0	0	0
187	51	1	1	0.000000	1.705882	1.705882	0.000000	0.000000	0	0	0
188	4	1	2	0.000000	15.750000	8.000000	0.000000	0.000000	0	0	0
189	51	1	1	0.000000	2.470588	2.470588	0.000000	0.000000	0	0	0
190	73	1	1	0.000000	2.369863	2.369863	0.000000	0.000000	0	0	0
191	51	1	1	0.000000	1.333333	1.333333	0.000000	0.000000	0	0	0
192	10	1	1	0.000000	4.900000	4.900000	0.000000	0.000000	0	0	0
193	51	1	1	0.000000	1.235294	1.235294	0.000000	0.000000	0	0	0
194	9	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
